line,move,espeed,dir,end,x,y,z,pitch,roll,yaw,fspeed
517,3,6,1,0,445.9,54.9027,1.85,0,0,0,
520,109,6,1,0,448.45,54.4494,1.85,0,0,0,
523,3,6,1,0,448.45,-54.4492,1.85,0,0,0,
526,108,6,1,0,451,-53.9672,1.85,0,0,0,
529,3,6,1,0,451,53.9673,1.85,0,0,0,
532,107,6,1,0,453.55,53.4558,1.85,0,0,0,
535,3,6,1,0,453.55,-53.4558,1.85,0,0,0,
538,106,6,1,0,456.1,-52.9142,1.85,0,0,0,
541,3,6,1,0,456.1,52.9142,1.85,0,0,0,
544,105,6,1,0,458.65,52.3415,1.85,0,0,0,
547,3,6,1,0,458.65,-52.3416,1.85,0,0,0,
550,103,6,1,0,461.2,-51.7371,1.85,0,0,0,
553,3,6,1,0,461.2,51.737,1.85,0,0,0,
556,102,6,1,0,463.75,51.0995,1.85,0,0,0,
559,3,6,1,0,463.75,-51.0995,1.85,0,0,0,
562,101,6,1,0,466.3,-50.4275,1.85,0,0,0,
565,3,6,1,0,466.3,50.4275,1.85,0,0,0,
568,99,6,1,0,468.85,49.7195,1.85,0,0,0,
571,3,6,1,0,468.85,-49.7194,1.85,0,0,0,
574,98,6,1,0,471.4,-48.9738,1.85,0,0,0,
577,3,6,1,0,471.4,48.9739,1.85,0,0,0,
580,96,6,1,0,473.95,48.1891,1.85,0,0,0,
583,3,6,1,0,473.95,-48.189,1.85,0,0,0,
586,95,6,1,0,476.5,-47.363,1.85,0,0,0,
589,3,6,1,0,476.5,47.363,1.85,0,0,0,
592,93,6,1,0,479.05,46.4937,1.85,0,0,0,
595,3,6,1,0,479.05,-46.4938,1.85,0,0,0,
598,91,6,1,0,481.6,-45.579,1.85,0,0,0,
601,3,6,1,0,481.6,45.5789,1.85,0,0,0,
604,89,6,1,0,484.15,44.6163,1.85,0,0,0,
607,3,6,1,0,484.15,-44.6163,1.85,0,0,0,
610,87,6,1,0,486.7,-43.6023,1.85,0,0,0,
613,3,6,1,0,486.7,43.6024,1.85,0,0,0,
616,85,6,1,0,489.25,42.5331,1.85,0,0,0,
619,3,6,1,0,489.25,-42.533,1.85,0,0,0,
622,83,6,1,0,491.8,-41.4039,1.85,0,0,0,
625,3,6,1,0,491.8,41.4041,1.85,0,0,0,
628,80,6,1,0,494.35,40.2105,1.85,0,0,0,
631,3,6,1,0,494.35,-40.2104,1.85,0,0,0,
634,78,6,1,0,496.9,-38.9464,1.85,0,0,0,
637,3,6,1,0,496.9,38.9463,1.85,0,0,0,
640,75,6,1,0,499.45,37.6049,1.85,0,0,0,
643,3,6,1,0,499.45,-37.605,1.85,0,0,0,
646,72,6,1,0,502,-36.1785,1.85,0,0,0,
649,3,6,1,0,502,36.1783,1.85,0,0,0,
652,69,6,1,0,504.55,34.6565,1.85,0,0,0,
655,3,6,1,0,504.55,-34.6566,1.85,0,0,0,
658,66,6,1,0,507.1,-33.0252,1.85,0,0,0,
661,3,6,1,0,507.1,33.0252,1.85,0,0,0,
664,63,6,1,0,509.65,31.2671,1.85,0,0,0,
667,3,6,1,0,509.65,-31.267,1.85,0,0,0,
670,59,6,1,0,512.2,-29.3599,1.85,0,0,0,
673,3,6,1,0,512.2,29.3599,1.85,0,0,0,
676,55,6,1,0,514.75,27.2727,1.85,0,0,0,
679,3,6,1,0,514.75,-27.2728,1.85,0,0,0,
682,50,6,1,0,517.3,-24.9631,1.85,0,0,0,
685,4,6,1,0,517.3,24.963,1.85,0,0,0,
688,45,6,1,0,519.85,22.3609,1.85,0,0,0,
691,4,6,1,0,519.85,-22.3609,1.85,0,0,0,
694,39,6,1,0,522.4,-19.3478,1.85,0,0,0,
697,4,6,1,0,522.4,19.3478,1.85,0,0,0,
700,31,6,1,0,524.95,15.6905,1.85,0,0,0,
703,6,6,1,0,524.95,-15.6906,1.85,0,0,0,
706,22,6,1,0,527.5,-10.759,1.85,0,0,0,
709,0,6,1,0,420.4043,0.0026,3.7,0,0,0,
712,0,6,1,0,420.0464,0.0035,3.7,0,0,0,
715,0,6,1,0,419.6865,0.0029,3.7,0,0,0,
718,0,6,1,0,419.3244,0.0008,3.7,0,0,0,
721,0,6,1,0,418.9601,-0.0026,3.7,0,0,0,
724,0,6,1,0,418.5937,-0.0074,3.7,0,0,0,
727,0,6,1,0,418.2249,-0.0135,3.7,0,0,0,
730,0,6,1,0,417.8539,-0.0207,3.7,0,0,0,
733,0,6,1,0,417.4806,-0.029,3.7,0,0,0,
736,0,6,1,0,417.105,-0.0384,3.7,0,0,0,
739,0,6,1,0,416.727,-0.0487,3.7,0,0,0,
742,0,6,1,0,416.3467,-0.06,3.7,0,0,0,
745,0,6,1,0,415.9639,-0.0721,3.7,0,0,0,
748,0,6,1,0,415.5788,-0.0851,3.7,0,0,0,
751,0,6,1,0,415.1912,-0.0989,3.7,0,0,0,
754,0,6,1,0,414.8012,-0.1134,3.7,0,0,0,
757,0,6,1,0,414.4087,-0.1285,3.7,0,0,0,
760,0,6,1,0,414.0137,-0.1443,3.7,0,0,0,
763,0,6,1,0,413.6162,-0.1607,3.7,0,0,0,
766,0,6,1,0,413.2163,-0.1775,3.7,0,0,0,
769,0,6,1,0,412.8137,-0.1948,3.7,0,0,0,
772,0,6,1,0,412.4087,-0.2125,3.7,0,0,0,
775,0,6,1,0,412.0011,-0.2305,3.7,0,0,0,
778,0,6,1,0,411.5909,-0.2488,3.7,0,0,0,
781,0,6,1,0,411.1781,-0.2673,3.7,0,0,0,
784,0,6,1,0,410.7628,-0.2861,3.7,0,0,0,
787,0,6,1,0,410.3449,-0.305,3.7,0,0,0,
790,0,6,1,0,409.9243,-0.324,3.7,0,0,0,
793,0,6,1,0,409.5012,-0.3431,3.7,0,0,0,
796,0,6,1,0,409.0754,-0.3623,3.7,0,0,0,
799,0,6,1,0,408.647,-0.3814,3.7,0,0,0,
802,0,6,1,0,408.2159,-0.4006,3.7,0,0,0,
805,0,6,1,0,407.7822,-0.4197,3.7,0,0,0,
808,0,6,1,0,407.3459,-0.4386,3.7,0,0,0,
811,0,6,1,0,406.9069,-0.4575,3.7,0,0,0,
814,0,6,1,0,406.4652,-0.4761,3.7,0,0,0,
817,0,6,1,0,406.0209,-0.4946,3.7,0,0,0,
820,0,6,1,0,405.5739,-0.5128,3.7,0,0,0,
823,0,6,1,0,405.1242,-0.5308,3.7,0,0,0,
826,0,6,1,0,404.6718,-0.5484,3.7,0,0,0,
829,0,6,1,0,404.2168,-0.5658,3.7,0,0,0,
832,0,6,1,0,403.759,-0.5827,3.7,0,0,0,
835,0,6,1,0,403.2986,-0.5993,3.7,0,0,0,
838,0,6,1,0,402.8355,-0.6155,3.7,0,0,0,
841,0,6,1,0,402.3697,-0.6312,3.7,0,0,0,
844,0,6,1,0,401.9012,-0.6465,3.7,0,0,0,
847,0,6,1,0,401.4299,-0.6612,3.7,0,0,0,
850,0,6,1,0,400.956,-0.6755,3.7,0,0,0,
853,0,6,1,0,400.4794,-0.6892,3.7,0,0,0,
856,0,6,1,0,400,-0.7023,3.7,0,0,0,
859,0,6,1,0,399.518,-0.7148,3.7,0,0,0,
862,0,6,1,0,399.0332,-0.7266,3.7,0,0,0,
865,0,6,1,0,398.5457,-0.7378,3.7,0,0,0,
868,0,6,1,0,398.0555,-0.7483,3.7,0,0,0,
871,0,6,1,0,397.5626,-0.7581,3.7,0,0,0,
874,0,6,1,0,397.0669,-0.7671,3.7,0,0,0,
877,1,6,1,0,396.5686,-0.7753,3.7,0,0,0,
880,1,6,1,0,396.0675,-0.7827,3.7,0,0,0,
883,1,6,1,0,395.5637,-0.7893,3.7,0,0,0,
886,1,6,1,0,395.0572,-0.795,3.7,0,0,0,
889,1,6,1,0,394.548,-0.7999,3.7,0,0,0,
892,1,6,1,0,394.0361,-0.8038,3.7,0,0,0,
895,1,6,1,0,393.5214,-0.8067,3.7,0,0,0,
898,1,6,1,0,393.004,-0.8086,3.7,0,0,0,
901,1,6,1,0,392.4839,-0.8096,3.7,0,0,0,
904,1,6,1,0,391.9611,-0.8095,3.7,0,0,0,
907,1,6,1,0,391.4356,-0.8083,3.7,0,0,0,
910,1,6,1,0,390.9074,-0.8061,3.7,0,0,0,
913,1,6,1,0,390.3765,-0.8027,3.7,0,0,0,
916,1,6,1,0,389.8428,-0.7982,3.7,0,0,0,
919,1,6,1,0,389.3065,-0.7925,3.7,0,0,0,
