line,numSteps,stepTime,dir,end,x,y,z,pitch,roll,yaw,f
127,158,63.2,1,0,369.1459,58.2325,12.7455,0,-180,0,150
128,148,59.2,1,0,338.6518,52.7821,12.0791,0,-180,0,150
129,134,53.6,1,0,309.3167,42.9087,11.1071,0,-180,0,150
130,114,45.6,1,0,283.1063,26.6226,9.9698,0,-180,0,150
131,103,41.2,1,0,269.0832,0,9.1577,0,-180,0,150
132,117,46.8,1,0,283.1063,-26.6226,9.9697,0,-180,0,150
133,134,53.6,1,0,309.3167,-42.9087,11.107,0,-180,0,150
134,148,59.2,1,0,338.6518,-52.7821,12.0791,0,-180,0,150
135,158,63.2,1,0,369.1459,-58.2325,12.7455,0,-180,0,150
136,162,64.8,1,0,400.0832,-60,13.0038,0,-180,0,150
137,158,63.2,1,0,431.0206,-58.2325,12.7455,0,-180,0,150
138,148,59.2,1,0,461.5147,-52.7821,12.0791,0,-180,0,150
139,134,53.6,1,0,490.8498,-42.9087,11.107,0,-180,0,150
140,114,45.6,1,0,517.0602,-26.6226,9.9698,0,-180,0,150
141,103,41.2,1,0,531.0971,0,10.3756,0,-180,0,150
142,117,46.8,1,0,517.0375,26.5916,11.3225,0,-180,0,150
143,134,53.6,1,0,490.8313,42.8636,12.6494,0,-180,0,150
144,148,59.2,1,0,461.5113,52.7505,13.7837,0,-180,0,150
145,158,63.2,1,0,431.0285,58.2217,14.5615,0,-180,0,150
146,162,64.8,1,0,400.0971,60,14.8628,0,-180,0,150
147,158,63.2,1,0,369.1658,58.2217,14.5614,0,-180,0,150
148,148,59.2,1,0,338.6829,52.7505,13.7837,0,-180,0,150
149,134,53.6,1,0,309.3629,42.8636,12.6495,0,-180,0,150
150,114,45.6,1,0,283.1567,26.5916,11.3226,0,-180,0,150
151,103,41.2,1,0,269.0971,0,10.3756,0,-180,0,150
152,117,46.8,1,0,283.1567,-26.5917,11.3224,0,-180,0,150
153,134,53.6,1,0,309.3629,-42.8636,12.6494,0,-180,0,150
154,148,59.2,1,0,338.6829,-52.7505,13.7836,0,-180,0,150
155,158,63.2,1,0,369.1658,-58.2217,14.5615,0,-180,0,150
156,162,64.8,1,0,400.0971,-60,14.8628,0,-180,0,150
157,158,63.2,1,0,431.0284,-58.2217,14.5614,0,-180,0,150
158,148,59.2,1,0,461.5113,-52.7505,13.7837,0,-180,0,150
159,134,53.6,1,0,490.8313,-42.8636,12.6495,0,-180,0,150
160,114,45.6,1,0,517.0375,-26.5916,11.3225,0,-180,0,150
161,103,41.2,1,0,531.111,0,11.5936,0,-180,0,150
162,117,46.8,1,0,517.0149,26.5607,12.6751,0,-180,0,150
163,134,53.6,1,0,490.8134,42.8183,14.1917,0,-180,0,150
164,148,59.2,1,0,461.5088,52.7187,15.4881,0,-180,0,150
165,158,63.2,1,0,431.0369,58.2108,16.3774,0,-180,0,150
166,162,64.8,1,0,400.111,60,16.7218,0,-180,0,150
167,158,63.2,1,0,369.1851,58.2108,16.3774,0,-180,0,150
168,148,59.2,1,0,338.7132,52.7187,15.4881,0,-180,0,150
169,134,53.6,1,0,309.4086,42.8183,14.1918,0,-180,0,150
170,114,45.6,1,0,283.2071,26.5606,12.6752,0,-180,0,150
171,103,41.2,1,0,269.111,0,11.5936,0,-180,0,150
172,117,46.8,1,0,283.207,-26.5607,12.675,0,-180,0,150
173,134,53.6,1,0,309.4086,-42.8183,14.1916,0,-180,0,150
174,148,59.2,1,0,338.7132,-52.7187,15.4881,0,-180,0,150
175,158,63.2,1,0,369.185,-58.2108,16.3774,0,-180,0,150
176,162,64.8,1,0,400.111,-60,16.7218,0,-180,0,150
177,158,63.2,1,0,431.0369,-58.2108,16.3774,0,-180,0,150
178,148,59.2,1,0,461.5088,-52.7187,15.4881,0,-180,0,150
179,134,53.6,1,0,490.8134,-42.8183,14.1917,0,-180,0,150
180,114,45.6,1,0,517.0149,-26.5607,12.6751,0,-180,0,150
181,103,41.2,1,0,531.1248,0,12.8115,0,-180,0,150
